abstract_name,complete_phrase,discipline,field,filename,frame,frame_elements,journal,lexical_unit,lexical_unit_end,lexical_unit_start,sentence_count
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,Multiple factors within and outside of the educational system affect the formation of an individual 's professional identity .,BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Contingency,"{ ""frameElement"": ""Determinant"", ""starts"": 1, ""ends"": 2, ""word"": ""factors"" }",ACADEMIC MEDICINE,factors,2,1,7
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,Multiple factors within and outside of the educational system affect the formation of an individual 's professional identity .,BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Part_inner_outer,"{ ""frameElement"": ""Part"", ""starts"": 4, ""ends"": 5, ""word"": ""outside"" }, { ""frameElement"": ""Whole"", ""starts"": 5, ""ends"": 9, ""word"": ""of the educational system"" }",ACADEMIC MEDICINE,outside,5,4,7
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,Multiple factors within and outside of the educational system affect the formation of an individual 's professional identity .,BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Education_teaching,,ACADEMIC MEDICINE,educational,8,7,7
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,Multiple factors within and outside of the educational system affect the formation of an individual 's professional identity .,BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Gizmo,,ACADEMIC MEDICINE,system,9,8,7
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,Multiple factors within and outside of the educational system affect the formation of an individual 's professional identity .,BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Objective_influence,"{ ""frameElement"": ""Influencing_situation"", ""starts"": 0, ""ends"": 9, ""word"": ""Multiple factors within and outside of the educational system"" }",ACADEMIC MEDICINE,affect,10,9,7
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,Multiple factors within and outside of the educational system affect the formation of an individual 's professional identity .,BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Creating,"{ ""frameElement"": ""Created_entity"", ""starts"": 12, ""ends"": 18, ""word"": ""of an individual 's professional identity"" }",ACADEMIC MEDICINE,formation,12,11,7
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,Multiple factors within and outside of the educational system affect the formation of an individual 's professional identity .,BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,People,"{ ""frameElement"": ""Person"", ""starts"": 14, ""ends"": 15, ""word"": ""individual"" }",ACADEMIC MEDICINE,individual,15,14,7
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,Multiple factors within and outside of the educational system affect the formation of an individual 's professional identity .,BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,People_by_vocation,"{ ""frameElement"": ""Person"", ""starts"": 16, ""ends"": 17, ""word"": ""professional"" }",ACADEMIC MEDICINE,professional,17,16,7
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,Multiple factors within and outside of the educational system affect the formation of an individual 's professional identity .,BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Identicality,"{ ""frameElement"": ""Type"", ""starts"": 16, ""ends"": 17, ""word"": ""professional"" }",ACADEMIC MEDICINE,identity,18,17,7
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,"Each learner reacts to different factors in her or his own fashion , with the anticipated outcome being the emergence of a professional identity .",BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Similarity,"{ ""frameElement"": ""Entities"", ""starts"": 5, ""ends"": 6, ""word"": ""factors"" }",ACADEMIC MEDICINE,different,5,4,8
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,"Each learner reacts to different factors in her or his own fashion , with the anticipated outcome being the emergence of a professional identity .",BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Contingency,"{ ""frameElement"": ""Determinant"", ""starts"": 4, ""ends"": 5, ""word"": ""different"" }",ACADEMIC MEDICINE,factors,6,5,8
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,"Each learner reacts to different factors in her or his own fashion , with the anticipated outcome being the emergence of a professional identity .",BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Possession,"{ ""frameElement"": ""Possession"", ""starts"": 11, ""ends"": 12, ""word"": ""fashion"" }, { ""frameElement"": ""Owner"", ""starts"": 9, ""ends"": 10, ""word"": ""his"" }",ACADEMIC MEDICINE,own,11,10,8
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,"Each learner reacts to different factors in her or his own fashion , with the anticipated outcome being the emergence of a professional identity .",BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Building,"{ ""frameElement"": ""Created_entity"", ""starts"": 9, ""ends"": 10, ""word"": ""his"" }",ACADEMIC MEDICINE,fashion,12,11,8
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,"Each learner reacts to different factors in her or his own fashion , with the anticipated outcome being the emergence of a professional identity .",BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Proliferating_in_number,"{ ""frameElement"": ""Set"", ""starts"": 20, ""ends"": 24, ""word"": ""of a professional identity"" }",ACADEMIC MEDICINE,emergence,20,19,8
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,"Each learner reacts to different factors in her or his own fashion , with the anticipated outcome being the emergence of a professional identity .",BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,People_by_vocation,"{ ""frameElement"": ""Person"", ""starts"": 22, ""ends"": 23, ""word"": ""professional"" }",ACADEMIC MEDICINE,professional,23,22,8
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,"Each learner reacts to different factors in her or his own fashion , with the anticipated outcome being the emergence of a professional identity .",BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Identicality,"{ ""frameElement"": ""Type"", ""starts"": 23, ""ends"": 24, ""word"": ""identity"" }",ACADEMIC MEDICINE,identity,24,23,8
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,"However , the inherent logic in the related processes of professional identity formation and socialization may be obscured by their complexity and the large number of factors involved .",BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Concessive,,ACADEMIC MEDICINE,However,1,0,9
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,"However , the inherent logic in the related processes of professional identity formation and socialization may be obscured by their complexity and the large number of factors involved .",BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Cognitive_connection,"{ ""frameElement"": ""Concept_1"", ""starts"": 8, ""ends"": 9, ""word"": ""processes"" }",ACADEMIC MEDICINE,related,8,7,9
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,"However , the inherent logic in the related processes of professional identity formation and socialization may be obscured by their complexity and the large number of factors involved .",BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Processing_materials,"{ ""frameElement"": ""Material"", ""starts"": 9, ""ends"": 15, ""word"": ""of professional identity formation and socialization"" }",ACADEMIC MEDICINE,processes,9,8,9
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,"However , the inherent logic in the related processes of professional identity formation and socialization may be obscured by their complexity and the large number of factors involved .",BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,People_by_vocation,"{ ""frameElement"": ""Person"", ""starts"": 10, ""ends"": 11, ""word"": ""professional"" }",ACADEMIC MEDICINE,professional,11,10,9
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,"However , the inherent logic in the related processes of professional identity formation and socialization may be obscured by their complexity and the large number of factors involved .",BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Identicality,"{ ""frameElement"": ""Type"", ""starts"": 11, ""ends"": 12, ""word"": ""identity"" }",ACADEMIC MEDICINE,identity,12,11,9
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,"However , the inherent logic in the related processes of professional identity formation and socialization may be obscured by their complexity and the large number of factors involved .",BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Creating,"{ ""frameElement"": ""Created_entity"", ""starts"": 11, ""ends"": 12, ""word"": ""identity"" }",ACADEMIC MEDICINE,formation,13,12,9
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,"However , the inherent logic in the related processes of professional identity formation and socialization may be obscured by their complexity and the large number of factors involved .",BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Likelihood,"{ ""frameElement"": ""Hypothetical_event"", ""starts"": 2, ""ends"": 15, ""word"": ""the inherent logic in the related processes of professional identity formation and socialization"" }",ACADEMIC MEDICINE,may,16,15,9
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,"However , the inherent logic in the related processes of professional identity formation and socialization may be obscured by their complexity and the large number of factors involved .",BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Eclipse,,ACADEMIC MEDICINE,obscured,18,17,9
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,"However , the inherent logic in the related processes of professional identity formation and socialization may be obscured by their complexity and the large number of factors involved .",BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Dimension,"{ ""frameElement"": ""Object"", ""starts"": 24, ""ends"": 25, ""word"": ""number"" }, { ""frameElement"": ""Dimension"", ""starts"": 23, ""ends"": 24, ""word"": ""large"" }",ACADEMIC MEDICINE,large,24,23,9
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,"However , the inherent logic in the related processes of professional identity formation and socialization may be obscured by their complexity and the large number of factors involved .",BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Quantity,"{ ""frameElement"": ""Q_Prop"", ""starts"": 23, ""ends"": 24, ""word"": ""large"" }, { ""frameElement"": ""Quantity"", ""starts"": 24, ""ends"": 25, ""word"": ""number"" }, { ""frameElement"": ""Individuals"", ""starts"": 25, ""ends"": 28, ""word"": ""of factors involved"" }",ACADEMIC MEDICINE,number,25,24,9
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,"However , the inherent logic in the related processes of professional identity formation and socialization may be obscured by their complexity and the large number of factors involved .",BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Contingency,,ACADEMIC MEDICINE,factors,27,26,9
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,"However , the inherent logic in the related processes of professional identity formation and socialization may be obscured by their complexity and the large number of factors involved .",BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Participation,,ACADEMIC MEDICINE,involved,28,27,9
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,"Drawing on the identity formation and socialization literature , as well as experience gained in teaching professionalism , the authors developed schematic representations of these processes .",BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Cause_motion,"{ ""frameElement"": ""Theme"", ""starts"": 1, ""ends"": 8, ""word"": ""on the identity formation and socialization literature"" }",ACADEMIC MEDICINE,Drawing,1,0,10
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,"Drawing on the identity formation and socialization literature , as well as experience gained in teaching professionalism , the authors developed schematic representations of these processes .",BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Identicality,"{ ""frameElement"": ""Type"", ""starts"": 3, ""ends"": 4, ""word"": ""identity"" }",ACADEMIC MEDICINE,identity,4,3,10
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,"Drawing on the identity formation and socialization literature , as well as experience gained in teaching professionalism , the authors developed schematic representations of these processes .",BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Creating,"{ ""frameElement"": ""Created_entity"", ""starts"": 3, ""ends"": 4, ""word"": ""identity"" }",ACADEMIC MEDICINE,formation,5,4,10
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,"Drawing on the identity formation and socialization literature , as well as experience gained in teaching professionalism , the authors developed schematic representations of these processes .",BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Fields,,ACADEMIC MEDICINE,literature,8,7,10
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,"Drawing on the identity formation and socialization literature , as well as experience gained in teaching professionalism , the authors developed schematic representations of these processes .",BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Expertise,,ACADEMIC MEDICINE,experience,13,12,10
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,"Drawing on the identity formation and socialization literature , as well as experience gained in teaching professionalism , the authors developed schematic representations of these processes .",BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Change_position_on_a_scale,"{ ""frameElement"": ""Item"", ""starts"": 14, ""ends"": 17, ""word"": ""in teaching professionalism"" }",ACADEMIC MEDICINE,gained,14,13,10
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,"Drawing on the identity formation and socialization literature , as well as experience gained in teaching professionalism , the authors developed schematic representations of these processes .",BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Cause_to_make_progress,"{ ""frameElement"": ""Agent"", ""starts"": 18, ""ends"": 20, ""word"": ""the authors"" }, { ""frameElement"": ""Project"", ""starts"": 21, ""ends"": 26, ""word"": ""schematic representations of these processes"" }",ACADEMIC MEDICINE,developed,21,20,10
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,"Drawing on the identity formation and socialization literature , as well as experience gained in teaching professionalism , the authors developed schematic representations of these processes .",BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Communicate_categorization,"{ ""frameElement"": ""Item"", ""starts"": 23, ""ends"": 26, ""word"": ""of these processes"" }",ACADEMIC MEDICINE,representations,23,22,10
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,"Drawing on the identity formation and socialization literature , as well as experience gained in teaching professionalism , the authors developed schematic representations of these processes .",BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Processing_materials,,ACADEMIC MEDICINE,processes,26,25,10
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,"They adapted them to the medical context to guide educators as they initiate educational interventions , which aim to explicitly support professional identity formation and the ultimate goal of medical education-to ensure that medical students and residents come to `` think , act , and feel like a physician . ''",BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Waking_up,,ACADEMIC MEDICINE,come to,39,37,11
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,"They adapted them to the medical context to guide educators as they initiate educational interventions , which aim to explicitly support professional identity formation and the ultimate goal of medical education-to ensure that medical students and residents come to `` think , act , and feel like a physician . ''",BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Desiring,"{ ""frameElement"": ""Experiencer"", ""starts"": 33, ""ends"": 37, ""word"": ""medical students and residents"" }",ACADEMIC MEDICINE,feel like,47,45,11
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,"They adapted them to the medical context to guide educators as they initiate educational interventions , which aim to explicitly support professional identity formation and the ultimate goal of medical education-to ensure that medical students and residents come to `` think , act , and feel like a physician . ''",BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Cotheme,"{ ""frameElement"": ""Cotheme"", ""starts"": 9, ""ends"": 10, ""word"": ""educators"" }, { ""frameElement"": ""Theme"", ""starts"": 0, ""ends"": 1, ""word"": ""They"" }",ACADEMIC MEDICINE,guide,9,8,11
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,"They adapted them to the medical context to guide educators as they initiate educational interventions , which aim to explicitly support professional identity formation and the ultimate goal of medical education-to ensure that medical students and residents come to `` think , act , and feel like a physician . ''",BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Activity_start,"{ ""frameElement"": ""Activity"", ""starts"": 13, ""ends"": 49, ""word"": ""educational interventions , which aim to explicitly support professional identity formation and the ultimate goal of medical education-to ensure that medical students and residents come to `` think , act , and feel like a physician"" }, { ""frameElement"": ""Agent"", ""starts"": 11, ""ends"": 12, ""word"": ""they"" }",ACADEMIC MEDICINE,initiate,13,12,11
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,"They adapted them to the medical context to guide educators as they initiate educational interventions , which aim to explicitly support professional identity formation and the ultimate goal of medical education-to ensure that medical students and residents come to `` think , act , and feel like a physician . ''",BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Education_teaching,,ACADEMIC MEDICINE,educational,14,13,11
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,"They adapted them to the medical context to guide educators as they initiate educational interventions , which aim to explicitly support professional identity formation and the ultimate goal of medical education-to ensure that medical students and residents come to `` think , act , and feel like a physician . ''",BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Aiming,,ACADEMIC MEDICINE,aim,18,17,11
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,"They adapted them to the medical context to guide educators as they initiate educational interventions , which aim to explicitly support professional identity formation and the ultimate goal of medical education-to ensure that medical students and residents come to `` think , act , and feel like a physician . ''",BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Taking_sides,"{ ""frameElement"": ""Cognizer"", ""starts"": 11, ""ends"": 12, ""word"": ""they"" }",ACADEMIC MEDICINE,support,21,20,11
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,"They adapted them to the medical context to guide educators as they initiate educational interventions , which aim to explicitly support professional identity formation and the ultimate goal of medical education-to ensure that medical students and residents come to `` think , act , and feel like a physician . ''",BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,People_by_vocation,"{ ""frameElement"": ""Person"", ""starts"": 21, ""ends"": 22, ""word"": ""professional"" }",ACADEMIC MEDICINE,professional,22,21,11
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,"They adapted them to the medical context to guide educators as they initiate educational interventions , which aim to explicitly support professional identity formation and the ultimate goal of medical education-to ensure that medical students and residents come to `` think , act , and feel like a physician . ''",BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Identicality,"{ ""frameElement"": ""Type"", ""starts"": 22, ""ends"": 23, ""word"": ""identity"" }",ACADEMIC MEDICINE,identity,23,22,11
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,"They adapted them to the medical context to guide educators as they initiate educational interventions , which aim to explicitly support professional identity formation and the ultimate goal of medical education-to ensure that medical students and residents come to `` think , act , and feel like a physician . ''",BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Creating,"{ ""frameElement"": ""Created_entity"", ""starts"": 22, ""ends"": 23, ""word"": ""identity"" }",ACADEMIC MEDICINE,formation,24,23,11
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,"They adapted them to the medical context to guide educators as they initiate educational interventions , which aim to explicitly support professional identity formation and the ultimate goal of medical education-to ensure that medical students and residents come to `` think , act , and feel like a physician . ''",BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Purpose,,ACADEMIC MEDICINE,goal,28,27,11
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,"They adapted them to the medical context to guide educators as they initiate educational interventions , which aim to explicitly support professional identity formation and the ultimate goal of medical education-to ensure that medical students and residents come to `` think , act , and feel like a physician . ''",BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Education_teaching,"{ ""frameElement"": ""Student"", ""starts"": 34, ""ends"": 35, ""word"": ""students"" }",ACADEMIC MEDICINE,students,35,34,11
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,"They adapted them to the medical context to guide educators as they initiate educational interventions , which aim to explicitly support professional identity formation and the ultimate goal of medical education-to ensure that medical students and residents come to `` think , act , and feel like a physician . ''",BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Residence,"{ ""frameElement"": ""Resident"", ""starts"": 36, ""ends"": 37, ""word"": ""residents"" }",ACADEMIC MEDICINE,residents,37,36,11
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,"They adapted them to the medical context to guide educators as they initiate educational interventions , which aim to explicitly support professional identity formation and the ultimate goal of medical education-to ensure that medical students and residents come to `` think , act , and feel like a physician . ''",BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Awareness,,ACADEMIC MEDICINE,think,41,40,11
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,"They adapted them to the medical context to guide educators as they initiate educational interventions , which aim to explicitly support professional identity formation and the ultimate goal of medical education-to ensure that medical students and residents come to `` think , act , and feel like a physician . ''",BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Intentionally_act,"{ ""frameElement"": ""Act"", ""starts"": 45, ""ends"": 49, ""word"": ""feel like a physician"" }, { ""frameElement"": ""Agent"", ""starts"": 33, ""ends"": 37, ""word"": ""medical students and residents"" }",ACADEMIC MEDICINE,act,43,42,11
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,"They adapted them to the medical context to guide educators as they initiate educational interventions , which aim to explicitly support professional identity formation and the ultimate goal of medical education-to ensure that medical students and residents come to `` think , act , and feel like a physician . ''",BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Expertise,,ACADEMIC MEDICINE,physician,49,48,11
